date,smp_max,smp_min,smp_mean,supply
2018-02-01,150.65,116.84,132.71,87.47
2018-02-02,163.86,116.84,134.19,86.64
2018-02-03,164.07,116.85,131.39,88.28
2018-02-04,171.0,115.76,131.89,86.14
2018-02-05,170.34,123.89,137.96,90.63
2018-02-06,167.99,119.11,140.06,91.18
2018-02-07,141.07,124.11,132.76,90.09
2018-02-08,147.42,116.84,132.91,87.57
2018-02-09,150.7,116.84,126.95,81.63
2018-02-10,147.2,116.34,130.1,83.0
2018-02-11,149.81,116.91,127.0,82.75
2018-02-12,167.78,124.68,138.91,89.2
2018-02-13,146.75,126.95,132.89,85.22
2018-02-14,168.73,116.84,132.9,75.44
2018-02-15,142.71,116.62,129.99,74.21
2018-02-16,137.18,51.12,121.13,74.96
2018-02-17,152.5,107.61,126.44,78.31
2018-02-18,148.28,116.91,130.39,73.8
2018-02-19,151.67,116.84,133.35,77.87
2018-02-20,145.99,115.16,125.54,76.98
2018-02-21,167.06,116.84,134.82,81.87
2018-02-22,165.91,116.84,134.31,84.73
2018-02-23,143.44,116.84,128.36,80.26
2018-02-24,148.34,116.63,125.61,73.9
2018-02-25,144.2,116.36,126.36,74.19
2018-02-26,146.47,116.84,131.38,78.89
2018-02-27,171.36,116.55,129.76,74.89
2018-02-28,165.98,115.09,130.85,78.61
2018-03-01,181.14,119.65,134.24,80.59
2018-03-02,175.15,120.62,138.56,78.97
2018-03-03,180.97,113.75,133.78,73.19
2018-03-04,154.19,94.96,128.29,65.1
2018-03-05,180.0,119.48,135.75,76.46
2018-03-06,181.06,120.72,134.07,76.67
2018-03-07,180.18,120.76,132.96,77.36
2018-03-08,148.79,120.44,128.11,80.75
2018-03-09,155.29,120.62,137.74,79.37
2018-03-10,156.42,120.74,130.04,77.53
2018-03-11,130.54,111.14,124.04,73.95
2018-03-12,130.55,120.47,124.43,74.94
2018-03-13,128.39,119.18,123.89,70.51
2018-03-14,133.16,116.65,125.3,67.13
2018-03-15,151.53,99.61,132.88,68.89
2018-03-16,157.06,112.95,131.0,76.17
2018-03-17,178.47,119.61,143.32,73.2
2018-03-18,155.53,119.1,133.31,66.22
2018-03-19,157.0,108.57,131.33,76.3
2018-03-20,153.61,118.81,130.42,80.96
2018-03-21,145.02,118.38,134.24,80.62
2018-03-22,150.24,120.23,135.83,80.24
2018-03-23,155.68,120.5,132.32,78.27
2018-03-24,157.11,116.8,129.99,72.59
2018-03-25,159.98,114.86,127.22,69.3
2018-03-26,155.42,119.19,129.68,71.81
2018-03-27,147.7,120.46,125.03,72.05
2018-03-28,145.45,115.13,129.51,69.04
2018-03-29,170.18,110.7,136.7,68.56
2018-03-30,179.64,113.85,133.94,68.84
2018-03-31,173.16,114.06,135.34,66.5
2018-04-01,152.84,117.78,129.73,62.66
2018-04-02,147.17,114.6,128.9,64.46
2018-04-03,146.47,112.57,128.96,63.96
2018-04-04,146.15,115.72,128.51,64.09
2018-04-05,157.0,119.59,128.94,66.18
2018-04-06,146.8,112.89,128.48,73.82
2018-04-07,140.68,104.62,130.96,77.14
2018-04-08,138.56,109.54,132.52,72.41
2018-04-09,153.33,117.05,130.04,71.3
2018-04-10,148.9,112.26,127.17,65.32
2018-04-11,132.11,87.0,123.6,67.31
2018-04-12,149.94,88.3,122.15,65.96
2018-04-13,151.95,88.55,127.18,66.34
2018-04-14,156.29,87.24,118.1,66.9
2018-04-15,139.97,87.93,118.32,70.95
2018-04-16,143.54,120.21,126.7,69.32
2018-04-17,152.17,109.58,128.95,70.04
2018-04-18,153.92,110.44,129.06,71.89
2018-04-19,147.36,120.72,131.39,70.51
2018-04-20,146.85,110.57,126.6,69.56
2018-04-21,150.95,118.85,129.26,64.28
2018-04-22,131.25,120.8,126.33,62.76
2018-04-23,150.47,88.78,130.0,66.84
2018-04-24,150.78,109.58,130.2,67.67
2018-04-25,151.08,108.77,130.26,71.06
2018-04-26,158.91,116.02,130.28,68.0
2018-04-27,145.25,119.45,128.72,66.32
2018-04-28,137.28,118.77,126.08,63.86
2018-04-29,133.41,117.94,126.07,61.98
2018-04-30,132.7,120.22,125.65,63.19
2018-05-01,129.84,117.09,124.66,63.46
2018-05-02,131.69,120.27,124.41,66.53
2018-05-03,177.3,115.01,125.97,67.86
2018-05-04,131.18,120.44,125.36,67.22
2018-05-05,133.71,114.07,125.65,61.13
2018-05-06,129.22,80.38,120.98,61.55
2018-05-07,131.68,114.16,124.83,62.69
2018-05-08,149.58,109.5,128.58,64.51
2018-05-09,152.16,112.58,128.99,64.78
2018-05-10,150.52,113.47,127.54,66.11
2018-05-11,153.79,110.78,127.95,61.16
2018-05-12,130.36,113.91,124.47,60.43
2018-05-13,152.86,80.7,122.69,60.61
2018-05-14,148.5,116.85,129.57,63.13
2018-05-15,153.76,118.78,128.76,63.72
2018-05-16,151.16,115.85,128.5,67.37
2018-05-17,153.96,115.02,127.86,69.54
2018-05-18,153.75,114.09,131.27,66.97
2018-05-19,155.13,81.54,126.92,61.92
2018-05-20,138.67,66.54,105.71,61.66
2018-05-21,146.78,123.53,130.97,62.49
2018-05-22,145.06,120.31,133.14,60.36
2018-05-23,175.9,120.08,137.1,64.34
2018-05-24,171.88,120.35,145.74,62.93
2018-05-25,174.17,120.68,134.43,62.86
2018-05-26,136.67,124.32,129.48,62.04
2018-05-27,176.45,122.58,135.18,61.61
2018-05-28,175.69,123.11,133.92,64.45
2018-05-29,171.07,124.93,138.52,64.45
2018-05-30,173.67,124.33,140.81,65.18
2018-05-31,176.69,124.97,132.31,62.62
2018-06-01,152.46,135.39,144.78,63.87
2018-06-02,170.78,126.35,134.85,62.74
2018-06-03,164.63,126.47,134.25,61.77
2018-06-04,166.75,126.21,141.64,64.6
2018-06-05,189.63,126.82,140.21,64.38
2018-06-06,164.94,127.09,134.7,62.86
2018-06-07,188.69,112.67,145.34,64.56
2018-06-08,150.57,135.01,140.51,63.89
2018-06-09,148.49,111.48,141.16,61.33
2018-06-10,189.58,112.71,142.21,60.38
2018-06-11,189.93,130.94,144.93,63.24
2018-06-12,148.51,133.21,142.29,63.02
2018-06-13,151.1,133.15,140.6,62.43
2018-06-14,166.13,130.71,144.33,64.73
2018-06-15,158.7,127.22,135.96,63.37
2018-06-16,163.96,127.74,135.25,61.36
2018-06-17,164.8,127.43,139.19,61.55
2018-06-18,162.71,126.58,140.62,65.28
2018-06-19,154.82,110.71,141.52,66.21
2018-06-20,160.69,85.85,140.43,66.29
2018-06-21,159.66,126.09,146.03,67.61
2018-06-22,163.85,130.62,144.27,67.33
2018-06-23,162.2,125.93,136.96,63.98
2018-06-24,163.81,126.45,137.05,64.67
2018-06-25,158.12,126.14,143.37,69.63
2018-06-26,149.9,126.02,141.39,77.04
2018-06-27,150.95,126.45,142.24,74.48
2018-06-28,151.13,125.29,139.11,74.48
2018-06-29,170.55,126.22,138.47,73.4
2018-06-30,186.8,87.17,135.26,66.93
2018-07-01,189.6,124.2,153.22,68.48
2018-07-02,181.67,122.39,148.69,74.89
2018-07-03,149.19,130.93,143.05,69.55
2018-07-04,148.23,123.28,142.34,75.19
2018-07-05,157.89,69.48,132.74,74.46
2018-07-06,153.99,67.72,139.86,71.7
2018-07-07,181.92,68.51,145.15,63.2
2018-07-08,153.47,59.88,130.17,63.0
2018-07-09,161.81,56.97,132.78,73.64
2018-07-10,172.55,131.08,153.14,78.7
2018-07-11,175.15,127.66,153.37,82.91
2018-07-12,195.16,138.39,157.29,83.64
2018-07-13,162.81,146.84,154.04,82.69
2018-07-14,187.16,138.4,157.14,78.97
2018-07-15,180.81,124.78,148.33,78.25
2018-07-16,173.55,126.72,154.81,85.44
2018-07-17,187.65,134.21,159.18,85.99
2018-07-18,196.0,122.9,155.71,85.51
2018-07-19,192.66,137.96,158.08,86.7
2018-07-20,237.49,138.49,164.65,88.53
2018-07-21,188.67,137.9,156.28,84.71
2018-07-22,188.06,137.65,153.98,79.81
2018-07-23,194.48,138.01,164.75,90.07
2018-07-24,191.64,138.41,160.71,89.97
2018-07-25,193.35,138.39,158.57,92.74
2018-07-26,193.89,141.27,160.8,92.05
2018-07-27,190.02,138.48,161.61,93.11
2018-07-28,193.6,137.79,155.69,88.82
2018-07-29,195.26,136.9,154.16,86.99
2018-07-30,183.46,130.52,157.47,88.39
2018-07-31,189.61,138.33,161.64,89.98
2018-08-01,191.07,141.6,162.28,92.4
2018-08-02,192.35,141.75,162.43,92.27
2018-08-03,189.78,141.77,161.79,89.04
2018-08-04,195.55,142.01,162.27,88.3
2018-08-05,188.12,141.66,157.76,87.44
2018-08-06,182.5,140.03,166.06,94.94
2018-08-07,194.44,141.77,159.01,94.05
2018-08-08,192.27,141.81,166.09,93.7
2018-08-09,183.46,141.77,166.85,93.81
2018-08-10,195.84,141.77,163.26,94.18
2018-08-11,195.58,141.87,159.61,86.47
2018-08-12,172.46,141.67,156.64,85.67
2018-08-13,190.77,136.36,166.37,94.15
2018-08-14,193.17,141.77,164.43,94.66
2018-08-15,194.22,141.68,163.58,90.4
2018-08-16,195.4,141.45,159.37,85.75
2018-08-17,195.1,141.81,159.15,76.87
2018-08-18,180.96,142.06,157.84,75.66
2018-08-19,188.58,141.97,150.05,78.31
2018-08-20,193.76,140.67,160.14,85.18
2018-08-21,178.02,139.98,156.51,85.92
2018-08-22,180.84,140.76,151.56,84.2
2018-08-23,186.53,133.68,154.32,71.37
2018-08-24,182.2,136.66,161.45,78.36
2018-08-25,152.62,140.98,146.93,77.62
2018-08-26,181.71,140.6,152.21,77.68
2018-08-27,174.47,140.21,158.96,86.16
2018-08-28,188.05,137.36,160.68,85.52
2018-08-29,182.67,133.71,160.84,85.31
2018-08-30,174.29,134.14,159.08,87.98
2018-08-31,173.88,130.84,157.16,87.9
2018-09-01,191.98,138.09,159.37,77.7
2018-09-02,192.16,144.57,160.98,75.6
2018-09-03,184.94,146.21,164.31,80.97
2018-09-04,197.9,144.31,167.35,77.07
2018-09-05,182.72,142.5,165.95,76.07
2018-09-06,183.49,145.52,163.21,74.66
2018-09-07,187.05,143.98,160.74,72.23
2018-09-08,182.17,146.63,163.1,64.52
2018-09-09,192.99,134.33,160.6,64.55
2018-09-10,181.2,142.27,164.46,66.27
2018-09-11,159.39,136.48,153.44,67.07
2018-09-12,161.79,140.2,154.31,70.07
2018-09-13,182.81,88.82,159.42,69.73
2018-09-14,164.46,88.86,152.8,73.81
2018-09-15,202.18,146.58,156.98,71.67
2018-09-16,192.15,59.25,149.37,70.28
2018-09-17,165.94,57.35,142.54,71.83
2018-09-18,175.98,136.16,161.28,71.48
2018-09-19,202.38,148.84,164.38,69.06
2018-09-20,202.36,148.84,168.13,75.67
2018-09-21,173.15,154.78,163.15,75.01
2018-09-22,202.69,155.17,168.32,67.86
2018-09-23,181.03,148.72,166.88,64.43
2018-09-24,202.45,148.72,159.74,55.95
2018-09-25,203.75,148.72,163.38,59.69
2018-09-26,181.36,148.72,165.43,62.48
2018-09-27,174.3,156.65,164.26,64.55
2018-09-28,197.92,148.84,172.56,65.37
2018-09-29,198.46,148.66,169.26,62.83
2018-09-30,200.6,148.72,162.18,61.44
2018-10-01,177.51,145.83,162.93,63.94
2018-10-02,179.15,145.83,160.02,64.02
2018-10-03,195.92,144.98,156.42,62.83
2018-10-04,155.12,144.99,149.29,64.79
2018-10-05,184.71,146.21,156.58,66.22
2018-10-06,185.08,145.8,156.5,61.61
2018-10-07,201.46,146.03,151.21,60.22
2018-10-08,185.02,145.6,156.0,63.3
2018-10-09,186.79,145.86,156.04,63.08
2018-10-10,186.37,146.26,155.69,63.75
2018-10-11,183.1,145.68,163.67,63.92
2018-10-12,182.72,145.83,163.03,63.89
2018-10-13,153.3,145.78,147.91,62.78
2018-10-14,201.46,145.25,152.53,62.41
2018-10-15,191.45,145.81,159.02,64.62
2018-10-16,173.94,145.14,158.66,65.52
2018-10-17,180.46,145.86,164.75,64.91
2018-10-18,182.92,145.83,165.93,65.57
2018-10-19,180.63,145.83,163.96,64.94
2018-10-20,186.22,145.25,158.1,63.03
2018-10-21,182.81,145.15,159.32,61.18
2018-10-22,196.46,145.73,163.55,65.5
2018-10-23,201.17,144.86,162.86,64.52
2018-10-24,175.53,145.42,162.01,64.4
2018-10-25,173.0,145.83,160.86,64.21
2018-10-26,200.68,145.65,164.69,64.43
2018-10-27,174.85,145.56,160.75,62.45
2018-10-28,201.49,145.69,159.61,61.19
2018-10-29,195.83,145.83,162.77,64.8
2018-10-30,187.53,145.83,155.85,65.53
2018-10-31,201.43,146.24,157.79,65.95
2018-11-01,203.85,154.32,168.74,66.26
2018-11-02,171.9,142.44,161.82,65.76
2018-11-03,177.65,141.48,163.33,63.87
2018-11-04,179.9,141.9,165.42,62.7
2018-11-05,205.86,145.81,168.12,65.79
2018-11-06,204.17,144.71,168.46,66.14
2018-11-07,193.55,149.94,161.39,65.59
2018-11-08,187.11,149.94,160.19,66.9
2018-11-09,180.57,149.94,163.48,66.77
2018-11-10,185.79,149.58,166.77,64.49
2018-11-11,167.48,100.04,152.12,62.92
2018-11-12,184.04,133.73,165.63,67.05
2018-11-13,185.26,143.01,162.92,67.35
2018-11-14,190.0,147.26,164.99,68.11
2018-11-15,182.36,141.48,159.4,66.41
2018-11-16,171.31,101.11,154.59,67.26
2018-11-17,172.02,99.67,156.76,66.29
2018-11-18,166.53,95.48,148.43,66.14
2018-11-19,161.95,134.92,154.05,69.59
2018-11-20,163.5,147.68,156.51,70.5
2018-11-21,160.43,144.61,154.65,69.77
2018-11-22,169.43,146.41,156.96,73.43
2018-11-23,206.5,149.07,162.23,73.38
2018-11-24,177.86,102.11,152.31,67.55
2018-11-25,183.49,98.81,153.78,66.51
2018-11-26,165.59,99.82,154.21,69.48
2018-11-27,163.26,139.53,155.4,69.31
2018-11-28,204.02,140.26,163.78,71.08
2018-11-29,204.23,144.53,162.1,70.04
2018-11-30,185.96,149.17,164.16,69.44
2018-12-01,189.08,106.18,169.49,67.57
2018-12-02,193.06,88.98,161.04,64.17
2018-12-03,196.23,160.5,173.87,67.14
2018-12-04,194.37,140.39,175.42,70.67
2018-12-05,196.52,142.83,170.85,73.29
2018-12-06,219.62,155.96,174.03,75.18
2018-12-07,216.15,156.96,178.78,81.61
2018-12-08,217.74,151.6,168.4,80.06
2018-12-09,195.18,89.28,168.12,78.29
2018-12-10,201.14,154.04,176.1,79.78
2018-12-11,219.71,152.11,170.77,79.03
2018-12-12,194.73,148.38,175.2,84.42
2018-12-13,219.21,151.06,174.66,83.11
2018-12-14,199.22,149.14,173.6,83.54
2018-12-15,198.86,161.02,173.94,79.37
2018-12-16,175.56,151.39,166.51,74.17
2018-12-17,177.14,161.58,166.48,82.0
2018-12-18,201.05,161.49,172.24,80.85
2018-12-19,176.76,161.0,167.02,73.9
2018-12-20,218.66,155.58,168.83,76.57
2018-12-21,216.32,149.78,173.92,71.74
2018-12-22,177.75,103.24,163.91,71.11
2018-12-23,198.5,147.55,170.15,74.77
2018-12-24,214.49,160.5,170.59,80.25
2018-12-25,191.42,147.53,169.78,74.63
2018-12-26,205.36,161.71,172.32,80.19
2018-12-27,208.27,161.88,174.74,89.53
2018-12-28,214.13,161.88,180.16,90.76
2018-12-29,209.51,152.53,171.66,86.13
2018-12-30,200.64,159.99,175.13,84.29
2018-12-31,211.99,104.37,170.41,85.75
2019-01-01,168.22,71.64,138.28,81.11
2019-01-02,192.93,142.55,158.79,90.17
2019-01-03,183.19,145.41,155.71,87.34
2019-01-04,175.35,142.88,157.04,85.2
2019-01-05,164.41,106.06,147.77,83.75
2019-01-06,192.13,100.08,152.83,82.32
2019-01-07,193.97,140.41,160.03,85.12
2019-01-08,190.67,146.52,153.94,88.68
2019-01-09,193.5,146.75,160.34,88.52
2019-01-10,192.45,144.49,161.03,86.79
2019-01-11,192.51,138.01,158.77,83.32
2019-01-12,192.24,138.99,160.42,80.81
2019-01-13,192.73,99.82,155.67,81.62
2019-01-14,188.16,132.94,159.58,83.8
2019-01-15,192.02,145.62,159.06,87.05
2019-01-16,190.29,146.36,162.0,93.47
2019-01-17,190.62,145.95,161.14,91.6
2019-01-18,192.89,146.36,157.9,86.66
2019-01-19,181.87,142.17,158.5,79.6
2019-01-20,183.54,99.68,151.87,84.96
2019-01-21,190.33,142.64,162.12,88.0
2019-01-22,191.35,142.51,159.34,86.77
2019-01-23,189.0,131.17,159.2,86.03
2019-01-24,190.28,144.51,161.19,85.09
2019-01-25,187.64,141.19,161.04,87.41
2019-01-26,193.46,144.19,158.62,89.98
2019-01-27,181.53,139.31,154.61,84.16
2019-01-28,191.86,110.86,159.11,87.08
2019-01-29,189.75,133.91,163.04,84.98
2019-01-30,182.75,109.43,155.18,82.15
2019-01-31,194.05,110.62,156.54,91.6
2019-02-01,159.88,116.4,133.5,87.95
2019-02-02,168.75,110.92,136.94,79.2
2019-02-03,166.91,61.72,134.62,73.06
2019-02-04,169.52,114.13,131.18,78.3
2019-02-05,142.88,53.16,121.25,73.45
2019-02-06,160.1,61.72,129.16,72.49
2019-02-07,166.84,125.04,136.11,85.25
2019-02-08,165.46,124.76,139.99,85.17
2019-02-09,164.0,122.58,140.41,89.63
2019-02-10,166.69,126.75,142.92,84.03
2019-02-11,164.14,125.04,141.05,90.72
2019-02-12,169.2,125.04,137.83,85.78
2019-02-13,169.54,125.04,136.21,87.79
2019-02-14,163.19,120.66,132.76,88.15
2019-02-15,167.55,125.04,135.95,87.68
2019-02-16,160.64,113.9,135.76,87.13
2019-02-17,161.83,120.63,135.17,84.73
2019-02-18,168.05,125.04,137.37,84.23
2019-02-19,169.4,116.8,133.36,82.39
2019-02-20,169.47,125.04,136.44,82.82
2019-02-21,161.36,125.04,138.76,83.36
2019-02-22,169.54,124.51,136.38,82.92
2019-02-23,161.67,121.11,141.01,77.61
2019-02-24,165.33,89.7,133.31,77.16
2019-02-25,169.01,116.84,141.62,80.1
2019-02-26,168.62,129.77,142.52,81.53
2019-02-27,167.08,121.24,140.02,81.95
2019-02-28,165.83,113.07,135.37,80.93
2019-03-01,168.66,123.69,142.02,79.3
2019-03-02,169.58,91.06,130.13,77.48
2019-03-03,154.97,93.03,127.65,75.37
2019-03-04,169.3,123.32,133.49,80.49
2019-03-05,169.66,123.8,133.66,78.36
2019-03-06,169.37,123.8,134.74,79.71
2019-03-07,165.81,123.54,134.71,84.43
2019-03-08,169.37,123.8,132.78,81.18
2019-03-09,131.04,117.21,126.69,74.57
2019-03-10,134.95,108.89,126.03,74.93
2019-03-11,165.54,123.8,133.41,79.97
2019-03-12,168.41,118.09,130.22,78.78
2019-03-13,163.47,123.8,143.1,84.49
2019-03-14,168.8,123.8,139.75,83.09
2019-03-15,182.9,114.23,150.07,81.55
2019-03-16,172.69,127.13,152.46,79.1
2019-03-17,163.14,120.66,145.13,77.48
2019-03-18,178.86,117.41,151.62,79.39
2019-03-19,174.06,118.34,150.87,76.91
2019-03-20,180.31,117.47,151.11,73.5
2019-03-21,168.85,114.17,147.59,76.61
2019-03-22,167.19,125.66,152.1,82.27
